Sample,Woodrat_ID,Genotype,Q_bry,Sex,age_class,Year_collected,Season,Habitat
S018788,W342,N. bryanti,0.999996,female,adult,2017,Summer/Fall,flats
S010422,W367,N. bryanti,0.999996,female,adult,2019,Summer/Fall,hill
S019710,W367,N. bryanti,0.999996,female,juvenile,2018,Summer/Fall,flats
S019770,W367,N. bryanti,0.999996,female,juvenile,2018,Summer/Fall,hill
S019771,W367,N. bryanti,0.999996,female,juvenile,2018,Summer/Fall,hill
S019774,W383,N. bryanti,0.999996,male,adult,2018,Summer/Fall,hill
S019775,W387,N. bryanti,0.999996,female,adult,2018,Summer/Fall,hill
S019776,W387,N. bryanti,0.999996,female,adult,2018,Summer/Fall,hill
S019777,W388,N. bryanti,0.999996,female,juvenile,2018,Summer/Fall,hill
S019729,W416,N. bryanti,0.999996,male,adult,2018,Spring,flats
S019779,W428,N. bryanti,0.999996,female,adult,2018,Summer/Fall,hill
S019780,W434,N. bryanti,0.999996,male,adult,2018,Spring,hill
S019781,W434,N. bryanti,0.999996,male,adult,2018,Summer/Fall,hill
S019782,W434,N. bryanti,0.999996,male,adult,2018,Summer/Fall,hill
S019783,W442,N. bryanti,0.999996,male,juvenile,2018,Spring,hill
S019784,W442,N. bryanti,0.999996,male,juvenile,2018,Summer/Fall,hill
S019786,W445,N. bryanti,0.999996,male,adult,2018,Summer/Fall,hill
S019792,W450,N. bryanti,0.999996,female,adult,2018,Summer/Fall,hill
S019794,W452,N. bryanti,0.999996,female,adult,2018,Summer/Fall,hill
S010399,W496,N. bryanti,0.999996,male,juvenile,2019,Spring,hill
S018369,W496,N. bryanti,0.999996,male,juvenile,2019,Summer/Fall,hill
S018355,W499,N. bryanti,0.999996,female,adult,2019,Spring,flats
S018368,W499,N. bryanti,0.999996,female,adult,2019,Summer/Fall,flats
S023324,W507,N. bryanti,0.999996,male,adult,2019,Spring,hill
S018060,W521,N. bryanti,0.999996,male,juvenile,2019,Summer/Fall,hill
S018386,W521,N. bryanti,0.999996,male,juvenile,2019,Spring,flats
S023343,W528,N. bryanti,0.999996,female,juvenile,2019,Spring,hill
S023350,W536,N. bryanti,0.999996,male,adult,2019,Spring,hill
S023363,W540,N. bryanti,0.999996,female,NA,2019,Spring,hill
S023383,W555,N. bryanti,0.999996,male,adult,2019,Summer/Fall,hill
S018821,W251,N. bryanti,0.999997,female,adult,2017,Spring,hill
S010446,NA,F1,0.458,NA,NA,2016,Summer/Fall,flats
S010457,NA,F1,0.433,NA,NA,2016,Spring,hill
S010467,NA,F1,0.552,NA,NA,2016,Spring,flats
S010480,NA,F1,0.508,NA,NA,2016,Spring,flats
S010482,NA,F1,0.551,NA,NA,2016,Spring,flats
S010492,NA,F1,0.516,NA,NA,2016,Spring,hill
S010434,NA,N. bryanti,0.983,NA,NA,2016,Summer/Fall,hill
S010435,NA,N. bryanti,0.981,NA,NA,2016,Summer/Fall,hill
S010438,NA,N. bryanti,0.982,NA,NA,2016,Summer/Fall,hill
S010439,NA,N. bryanti,0.982,NA,NA,2016,Summer/Fall,hill
S010440,NA,N. bryanti,0.972,NA,NA,2016,Summer/Fall,hill
S010441,NA,N. bryanti,0.984,NA,NA,2016,Summer/Fall,hill
S010442,NA,N. bryanti,0.915,NA,NA,2016,Summer/Fall,hill
S010443,NA,N. bryanti,0.984,NA,NA,2016,Summer/Fall,hill
S010452,NA,N. bryanti,0.99,NA,NA,2016,Spring,hill
S010453,NA,N. bryanti,0.975,NA,NA,2016,Spring,hill
S010455,NA,N. bryanti,0.984,NA,NA,2016,Spring,hill
S010458,NA,N. bryanti,0.955,NA,NA,2016,Spring,hill
S010460,NA,N. bryanti,0.937,NA,NA,2016,Spring,hill
S010469,NA,N. bryanti,0.958,NA,NA,2016,Spring,hill
S010473,NA,N. bryanti,0.966,NA,NA,2016,Spring,hill
S010477,NA,N. bryanti,0.982,NA,NA,2016,Spring,hill
S010478,NA,N. bryanti,0.958,NA,NA,2016,Spring,flats
S010487,NA,N. bryanti,0.956,NA,NA,2016,Spring,flats
S010488,NA,N. bryanti,0.916,NA,NA,2016,Spring,flats
S010490,NA,N. bryanti,0.979,NA,NA,2016,Spring,hill
S010491,NA,N. bryanti,0.938,NA,NA,2016,Spring,hill
S010493,NA,N. bryanti,0.935,NA,NA,2016,Spring,hill
S010445,NA,N. bryanti-bc,0.677,NA,NA,2016,Summer/Fall,flats
S010449,NA,N. bryanti-bc,0.815,NA,NA,2016,Summer/Fall,flats
S010451,NA,N. bryanti-bc,0.609,NA,NA,2016,Summer/Fall,flats
S010454,NA,N. bryanti-bc,0.88,NA,NA,2016,Spring,hill
S010475,NA,N. bryanti-bc,0.714,NA,NA,2016,Spring,hill
S010486,NA,N. bryanti-bc,0.608,NA,NA,2016,Spring,flats
S010394,NA,N. lepida,0.014,NA,NA,2016,Summer/Fall,flats
S010430,NA,N. lepida,0.043,NA,NA,2016,Summer/Fall,flats
S010436,NA,N. lepida,0.016,NA,NA,2016,Summer/Fall,flats
S010444,NA,N. lepida,0.016,NA,NA,2016,Summer/Fall,flats
S010447,NA,N. lepida,0.025,NA,NA,2016,Summer/Fall,flats
S010448,NA,N. lepida,0.032,NA,NA,2016,Summer/Fall,flats
S010450,NA,N. lepida,0.053,NA,NA,2016,Spring,flats
S010456,NA,N. lepida,0.095,NA,NA,2016,Spring,hill
S010461,NA,N. lepida,0.021,NA,NA,2016,Spring,hill
S010462,NA,N. lepida,0.09,NA,NA,2016,Spring,flats
S010463,NA,N. lepida,0.016,NA,NA,2016,Spring,flats
S010464,NA,N. lepida,0.013,NA,NA,2016,Spring,flats
S010465,NA,N. lepida,0.027,NA,NA,2016,Spring,flats
S010466,NA,N. lepida,0.013,NA,NA,2016,Spring,flats
S010468,NA,N. lepida,0.036,NA,NA,2016,Spring,flats
S010471,NA,N. lepida,0.019,NA,NA,2016,Spring,hill
S010474,NA,N. lepida,0.036,NA,NA,2016,Spring,hill
S010476,NA,N. lepida,0.022,NA,NA,2016,Spring,hill
S010481,NA,N. lepida,0.012,NA,NA,2016,Spring,flats
S010483,NA,N. lepida,0.021,NA,NA,2016,Spring,flats
S010484,NA,N. lepida,0.043,NA,NA,2016,Spring,flats
S010485,NA,N. lepida,0.018,NA,NA,2016,Spring,flats
S010431,NA,N. lepida-bc,0.262,NA,NA,2016,Summer/Fall,flats
S010432,NA,N. lepida-bc,0.127,NA,NA,2016,Summer/Fall,flats
S010433,NA,N. lepida-bc,0.154,NA,NA,2016,Summer/Fall,flats
S010437,NA,N. lepida-bc,0.154,NA,NA,2016,Summer/Fall,flats
S010459,NA,N. lepida-bc,0.162,NA,NA,2016,Spring,hill
S010470,NA,N. lepida-bc,0.264,NA,NA,2016,Spring,hill
S010472,NA,N. lepida-bc,0.272,NA,NA,2016,Spring,hill
S010489,NA,N. lepida-bc,0.139,NA,NA,2016,Spring,hill
S019744,W069W070,N. bryanti,0.992,female,NA,2018,Summer/Fall,hill
S018845,W232,N. bryanti-bc,0.61,male,adult,2017,Summer/Fall,hill
S019722,W394,N. lepida,0.01,female,adult,2018,Summer/Fall,flats
S010426,W519,N. lepida,0.011,female,juvenile,2019,Summer/Fall,flats
S018062,W519,N. lepida,0.011,female,juvenile,2019,Spring,flats
