"","M33.g1.SNW","M38.g1.SNW","M40.g1.SNW","M44.g1.SNW","M50.g1.SNW","M73.g1.SNW","M74.g1.SNW","M75.g1.SNW","M79.g1.SNW","M81.g1.SNW","M82.g1.SNW","M85.g1.SNW","M89.g1.SNW","M94.g1.SNW","M53.g1.SNW","M41.g1.SNW","N44.g1.SNW","N49.g1.SNW","N50.g1.SNW","N51.g1.SNW","N52.g1.SNW","N65.g1.SNW","N66.g1.SNW","N67.g1.SNW","N68.g1.SNW","N76.g1.SNW","N77.g1.SNW","N78.g1.SNW","N782.g1.SNW","N79.g1.SNW","N84.g1.SNW","I13.g1.SBluG","I14.g1.SBluG","I15.g1.SBluG","I16.g1.SBluG","I18.g1.SBluG","I20.g1.SBluG","I21.g1.SBluG","I25.g1.SBluG","I26.g1.SBluG","I27.g1.SBluG","I28.g1.SBluG","I32.g1.SBluG","I33.g1.SBluG","I34.g1.SBluG","I35.g1.SBluG","I36.g2.SBluG","N100.g1.SBluG","N101.g1.SBluG","N102.g1.SBluG","N26.g1.SBluG","N28.g1.SBluG","N34.g1.SBluG","N37.g1.SBluG","N38.g1.SBluG","N40.g1.SBluG","N41.g1.SBluG","N43.g1.SBluG","N45.g1.SBluG","N46.g1.SBluG","N47.g1.SBluG","N87.g1.SBluG","N88.g1.SBluG","N95.g1.SBluG","N96.g1.SBluG","N97.g1.SBluG"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Frankia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Frankia-Jatrophihabitans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Jatrophihabitans",0,0,0,82,21,0,0,0,0,0,0,0,0,0,0,212,0,157,51,0,77,16,0,0,0,288,26,0,0,0,0,0,0,15,59,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,95,156,66,866,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus",672,0,65,713,302,0,0,0,22,0,0,459,125,423,0,699,84,313,565,0,1891,1917,671,564,256,217,244,78,0,1676,806,2118,629,746,1037,980,0,0,0,0,0,0,21,36,12,0,0,85,88,0,156,629,1851,621,1131,969,77,156,885,246,791,0,13,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus-Geodermatophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus-Modestobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,52,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Geodermatophilus",8788,0,2709,7377,821,44,276,76,259,94,0,672,0,4918,4326,5932,1077,2288,3916,2530,3676,1447,1436,772,1594,2754,2851,1781,0,5573,5934,0,1816,4524,3593,6679,0,0,0,0,0,26,61,43,0,0,0,310,204,0,1880,2247,6365,3871,3012,3125,291,251,0,541,2147,0,0,518,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Modestobacter",274,0,518,138,53,0,15,0,0,0,20,166,26,0,284,1241,52,81,758,0,269,244,680,497,0,178,53,344,0,622,328,1275,1480,687,1078,1116,16,0,33,0,0,0,0,36,0,0,0,349,264,36,0,907,1815,986,940,938,74,297,0,0,1513,0,0,0,0,676
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__NA",473,0,155,323,0,0,0,0,0,20,0,0,0,165,0,1943,0,157,264,0,423,239,0,110,0,0,255,142,0,113,94,0,0,68,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,113,303,167,0,0,0,0,56,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__NA;g__NA",1220,0,309,1756,476,0,83,0,24,0,0,211,0,432,949,1201,264,166,520,1657,2900,292,176,327,146,332,311,338,0,2370,1420,0,1132,802,1193,1027,0,0,0,0,0,0,0,0,0,0,0,163,0,0,110,700,1184,684,1550,792,356,39,0,247,1658,0,0,0,0,1606
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Nakamurellaceae;g__Nakamurella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,27,23,158,0,0,0,142,0,0,0,30,0,72,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,163,0,49,0,25,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__NA",61,0,18,149,0,0,0,0,0,0,0,0,0,239,0,0,18,0,0,0,118,0,0,19,0,0,0,0,0,119,144,0,30,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,27,0,0,0,191,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__Sporichthya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,29,0,74,0,170,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Glycomycetales;f__Glycomycetaceae;g__Glycomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,41,0,27,0,0,0,0,0,0,0,0,63,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,44,0,20,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Angustibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,17,0,0,0,0,12,0,0,0,0,0,96,117,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,818,96,0,0,0,0,65,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Kineococcus",0,0,14,0,0,0,0,22,0,0,0,443,0,86,0,586,0,0,41,0,491,79,1061,27,204,0,46,49,0,0,39,0,680,0,0,0,0,0,0,0,332,0,0,0,0,0,0,17,14,0,0,135,0,0,194,48,0,0,0,0,0,0,0,0,0,0
